airline_sentiment,is_reply,reply_count,retweet_count,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
positive,FALSE,0,0,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaColombia. Hola 79 destinos europeos al mejor precio https://t.co/FW3TfPhiFa",,Mon Dec 04 05:08:50 +0000 2017,937549230994051073,,Central Time (US & Canada)
neutral,FALSE,0,0,"Mariana Díez, directora de marketing de Quilosa-Selena Iberia https://t.co/F8n1Y1mROj",,Wed Dec 13 23:06:42 +0000 2017,941081978807431169,,Pacific Time (US & Canada)
neutral,TRUE,0,0,@Iberia A350!? Los van a usar en la ruta a EZE?,,Wed Nov 22 15:10:47 +0000 2017,933352064910012416,,
positive,FALSE,0,0,Ryanair reconocerá a los sindicatos por primera vez en su historia https://t.co/UdEJZqBUeZ vía @CapitalRadioB,,Fri Dec 15 09:18:02 +0000 2017,941598213106229248,,Madrid
negative,FALSE,0,0,"Se habla de la leche que se está pegando el Sabadell. Pero la de IAG (Iberia) es aún mayor, eh.
(-6,35%)
https://t.co/DtIsIf3Xkj",,Fri Oct 27 14:35:35 +0000 2017,923921122495787008,,Madrid
neutral,FALSE,0,0,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaArgentina. Hola 79 destinos europeos al mejor precio https://t.co/KlQ0gqBp56",,Fri Nov 17 19:55:26 +0000 2017,931611760829792256,,
neutral,FALSE,0,0,Oferta de #empleo #TCP: @Iberia busca auxiliares de vuelo este #diciembre en #Madrid y #Barcelona… https://t.co/81VdhSjOMa,,Thu Dec 21 14:05:05 +0000 2017,943844779976208384,,
positive,FALSE,0,0,"Iberia ampliará oferta de asientos a México, Argentina y Colombia https://t.co/1rKYoj1R0b #Turismo #México",,Thu Dec 14 01:45:08 +0000 2017,941121849366368258,,Mexico City
neutral,FALSE,0,0,Iberia Plus cumple 25 años. Queremos celebrarlo contigo de una manera muy especial. Elige tu número favorito y... ¡… https://t.co/p2JWMAXzLN,,Sat Dec 16 21:52:24 +0000 2017,942150441445548032,,
neutral,TRUE,0,0,@Iberia @TIBURONSANZ A ver cómo llega......,,Thu Dec 14 22:34:43 +0000 2017,941436315547127809,,Madrid
negative,TRUE,0,0,"@toppertorpe Pues siendo una, digamos, filial de IAG (sociedad de Iberia y British Airways) yo no les tocaría mucho… https://t.co/sAkK0jNuP1",,Tue Nov 14 21:52:04 +0000 2017,930553946023841794,,
negative,TRUE,0,0,@Iberia No te preocupes @Iberia esperaré a que me toque algo en el #SorteoDeNavidad #CMUOC https://t.co/R17FtE54Gb,,Sun Dec 03 20:51:37 +0000 2017,937424103488843776,,Madrid
negative,TRUE,0,0,@Iberia Si. Ya me había ido. No había ningún stand de Iberia en la zona del equipaje,,Wed Oct 25 19:32:38 +0000 2017,923271099151994880,,Caracas
neutral,FALSE,0,0,Iberia celebra su 90 aniversario: casi un siglo volando con los españoles https://t.co/ABMOYka8R1… https://t.co/gERrOrmxWj,,Thu Dec 14 18:03:41 +0000 2017,941368109289693186,,
neutral,FALSE,0,0,COSMO K - RYANAIR @OchoYMedioClub 15/12/2017: https://t.co/Qzq69heWIq vía @YouTube,,Sun Dec 17 14:24:51 +0000 2017,942400199523295233,,Athens
neutral,FALSE,0,0,"""Puedes encontrar tiempo para la tecnología y también para hablar con tu familia"".Echa un vistazo a esta interesant… https://t.co/zJHfS7uFHZ",,Wed Dec 06 04:53:19 +0000 2017,938270102583001088,,Madrid
positive,FALSE,0,0,Iberia Plus cumple 25 años. Queremos celebrarlo contigo de una manera muy especial. Elige tu número favorito y... ¡… https://t.co/KBPIS0b16W,,Wed Dec 13 00:09:51 +0000 2017,940735482958401536,,Central Time (US & Canada)
neutral,FALSE,0,0,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaArgentina. Hola 79 destinos europeos al mejor precio https://t.co/aUPaLAjIxK",,Tue Nov 21 22:22:26 +0000 2017,933098303306076161,,Buenos Aires
neutral,TRUE,0,0,@AlvProdz La A de... 😂😂😂 https://t.co/CmZuDTHQjz,,Mon Oct 30 13:20:26 +0000 2017,924989371480240128,"Madrid, España",Madrid
neutral,TRUE,0,0,"@Iberia @herifrade No, no. Por aquí mola más. Así os calamos.",,Thu Oct 26 09:42:40 +0000 2017,923485018898534400,,Madrid
neutral,FALSE,0,0,Perdiendo tiempo y dinero gracias al embarque desastroso de @Iberia ya que da prioridad a quien da la gana! https://t.co/ipxx11jIti,,Mon Nov 27 20:33:32 +0000 2017,935245224242237446,,Athens
neutral,FALSE,0,0,Ofrecemos los suiguientes destinos : ✈ARGENTINA-GOL AIRLINES 600$ ✈MADRID-IBERIA AIRLINES 1200$ ✈CHILE-LATHAN AIRLI… https://t.co/blSAQa7TZc,,Tue Nov 28 14:54:37 +0000 2017,935522320709505025,,
negative,TRUE,0,0,@Iberia Saben qué es lo que nos enoja a los consumidores de ustedes? Que no dicen nada porque no quieren comunicarl… https://t.co/bPyT3EScIX,,Tue Dec 19 11:46:19 +0000 2017,943085078678265856,,Santiago
negative,TRUE,0,0,"@Iberia_en el vuelo ib3925 con retraso, sin anuncio de puerta para conexión para el vuelo ib3720. Sin finger, un so… https://t.co/H3j1oEeBTd",,Thu Nov 30 18:56:43 +0000 2017,936308024574201857,,
negative,TRUE,0,0,@Apple Ya me gustaría pero estoy en paro y tengo otras prioridades. Ojalá y me pasara como a los del vuelo de Iberi… https://t.co/8ThRgIiXtt,,Tue Nov 07 11:18:25 +0000 2017,927857767968378880,,Greenland
negative,FALSE,0,0,"La suerte no es para siempre, Iberia desciende a segunda división ►",,Mon Nov 13 17:11:51 +0000 2017,930121040629551112,,Pacific Time (US & Canada)
negative,FALSE,0,0,Hola @Iberia si yo no facturo maleta es básicamente para no tener que esperar por ella en las cintas. De este modo… https://t.co/g3Fjo1A4oS,,Mon Nov 13 17:57:47 +0000 2017,930132597883260929,,Madrid
negative,TRUE,0,0,@Iberia @AirNostrumLAM Tenéis un descontrol descomunal. Ahora me pedís que@maletas me habéis entregado. No lo sabéi… https://t.co/5DNYRzLBKr,,Fri Dec 29 15:42:49 +0000 2017,946768474763923457,,
positive,FALSE,0,0,"¡Promoción! Vuelos RyanAir a Europa desde 4,99 euros

TUS OFERTAS - https://t.co/WA0QZIYvzV",,Wed Nov 22 07:30:28 +0000 2017,933236222322917377,,
negative,TRUE,0,0,@SamsungEspana @Iberia Me ubiera gustado estar en ese vuelo no solo por los note 8 si no porque colabora con samsung mi marca favorita,,Wed Oct 25 13:15:56 +0000 2017,923176300243759104,,
positive,TRUE,0,0,@Iberia gracias por la información!,,Tue Dec 12 17:08:11 +0000 2017,940629364538003457,,Pacific Time (US & Canada)
negative,TRUE,0,0,@bonforterocio @Iberia @aa2000oficial es una vergüenza lo de esta empresa @inberia que opere de está manera son una… https://t.co/cQ1iGCqcDb,,Sat Dec 02 15:26:31 +0000 2017,936979903903424512,,
positive,FALSE,0,0,"90 años 🎂
Muchos vuelos 🛫
¡Muchas felicidades! 😉
#Iberia #90Aniversario #FlotaIberia #Historia… https://t.co/6VTkripngo",,Thu Dec 14 17:57:53 +0000 2017,941366647897681922,,Amsterdam
neutral,FALSE,0,0,"Ryanair se estanca en España https://t.co/7XApMp6QMz

Ryanair se estanca en España https://t.co/7XApMp6QMz

— El Independiente (indpcom) …",,Tue Nov 14 15:32:14 +0000 2017,930458360180363266,,
positive,FALSE,0,0,[From our network] Iberia ofrecerá desde noviembre la clase Turista Premium en sus rutas a Lima…… https://t.co/D4zVE1EgRl,,Mon Oct 30 19:21:15 +0000 2017,925080174655258625,,Berlin
neutral,TRUE,0,0,@xiskya Ese asiento se escoge en la app de iberia por ejemplo.,,Tue Nov 14 23:39:19 +0000 2017,930580935908708352,,
positive,FALSE,0,0,Ryanair reconocerá a los sindicatos de pilotos para evitar un colapso de sus operaciones en Navidad… https://t.co/jrYHOAFoAZ,,Fri Dec 15 10:47:04 +0000 2017,941620617035399168,,
neutral,FALSE,0,0,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaArgentina. Hola 79 destinos europeos al mejor precio https://t.co/fVfUa1fM2y",,Mon Nov 20 15:30:16 +0000 2017,932632190130819074,,Zagreb
negative,TRUE,0,0,@Fly_Norwegian peor q Ryanair con las maletas. Los maleteros vacíos y mi maleta en la bodega teniendo como mucho 20… https://t.co/4QjQiybiv4,,Wed Dec 06 14:01:08 +0000 2017,938407966436446208,,Greenland
negative,FALSE,0,0,"Vamos a ver, “Cosas que vuelan” y he contestado “Iberia”. 
¿La daríais por válida?",,Mon Dec 25 19:17:49 +0000 2017,945373030049570816,,Greenland
negative,TRUE,0,0,@SupermanlopezN @Iberia @giroditalia Son unas bestias. No les importa nada.,,Fri Dec 22 22:48:18 +0000 2017,944338839182725120,"Pilar, Argentina",
negative,TRUE,0,0,@Iberia dos dias intentando comprar un billete con cargo a avios y es imposible! No puedo pagar con ninguna tarjeta. Help!,,Tue Jan 02 14:50:55 +0000 2018,948204965100736514,,
neutral,TRUE,0,0,@InfoViajera Gracias chicos. Ryanair se puso las pilas. Lo que comentábamos en el blog: está limpiando culpas por l… https://t.co/ClHxszYOzZ,,Thu Nov 02 14:52:34 +0000 2017,926099720203915264,,
negative,TRUE,0,0,@Iberia @Iberia ya gané? 😓,,Wed Nov 15 01:23:33 +0000 2017,930607170277773312,,Buenos Aires
neutral,TRUE,0,0,@Iberia Hola Iberia!!!!,,Sat Nov 04 18:06:04 +0000 2017,926873194061058048,,
positive,FALSE,0,0,"estos chicxs de @iberia son tozudos, no tiran la toalla hasta que consiguen solucionar la petición de un cliente, b… https://t.co/OyYO92T8LQ",,Wed Jan 03 21:28:30 +0000 2018,948667410529341442,,Greenland
neutral,FALSE,0,0,"A partir de mañana costará 9,5 € reservar un vuelo de Iberia en los GDS vía @hosteltur https://t.co/y1GURiWdLF",,Tue Oct 31 09:18:01 +0000 2017,925290755014479872,,Madrid
neutral,TRUE,0,0,@Iberia pero por la vía MD no me han respondido a las preguntas. Puedo cambiar el billete y pagar la diferencia?,,Wed Oct 25 20:12:56 +0000 2017,923281240752574464,,
negative,TRUE,0,0,"@Iberia ""arrojen sus maletas por aquí que no hay sitio dentro de la cabina"" #vayaputamierdade aerolinea https://t.co/dQR9GFqikP",,Fri Dec 01 21:12:54 +0000 2017,936704685771317248,,
neutral,FALSE,0,0,¿ que tan malo es Ryanair en Europa?,,Wed Nov 22 01:41:44 +0000 2017,933148460810997761,"Pasto, Colombia",Bogota
negative,FALSE,0,0,Buenas tardes @Iberia su plataforma de pago online no funciona y sus operadores quieren robarme 20€/pax por hacer la gestion...,,Fri Oct 27 15:46:22 +0000 2017,923938934341750784,,Madrid
neutral,FALSE,0,0,"""¿QUIERES PASAR LA NOCHEVIEJA EN GRECIA?""GANA 2 PASAJES AÉREOS MADRID - ATENAS con IBERIA y GRECIA VACACIONES! https://t.co/MAurgxKRov",,Mon Dec 04 10:41:05 +0000 2017,937632844255584256,,
positive,FALSE,0,0,"Selección de 100 #Tripulantes de cabina, en #Sevilla, #Málaga, #Granada... para la compañía #Ryanair https://t.co/MNU0DcDBJB",,Fri Oct 27 16:02:04 +0000 2017,923942886063988736,,Madrid
negative,FALSE,0,0,Gracias @Iberia por todos los ataques de ansiedad que tengo. Antes de despegar revisar bien los aviones,,Wed Oct 25 10:08:19 +0000 2017,923129085827649536,,Amsterdam
negative,FALSE,0,0,Deberían quitarles la licencia y que sean otras compañías más serias las que ocupen su lugar. https://t.co/sMqaSkFwfe,,Mon Jan 08 19:40:44 +0000 2018,950452229701500928,,
positive,TRUE,0,0,@Ryanair_ES Consigue tus sueños con Ryanair. 🛫🛫🛫,,Mon Nov 20 13:49:16 +0000 2017,932606772149391362,,
negative,TRUE,0,0,"@sninobecerra Quizás sea sólo en compañias de prácticas éticas dudosas, como el ejemplo q usted pone de #Ryanair",,Sat Nov 25 11:58:41 +0000 2017,934390882811416576,,Paris
neutral,TRUE,0,0,@Ryanair #TravelThursday Alicante,,Fri Dec 01 09:17:25 +0000 2017,936524627664351232,,
positive,FALSE,0,0,IBERIA Y AIR NOSTRUM AUMENTARáN UN 25 % LA OFERTA DE PLAZAS A MADRID EN 2018 https://t.co/hTRcNnyykM,,Mon Dec 18 17:19:29 +0000 2017,942806538292428801,,Madrid
neutral,TRUE,0,0,@zordor @Flapy @Iberia Decid que lleváis onigiris de souvenirs,,Tue Dec 19 06:51:03 +0000 2017,943010772300566528,"Zaragoza, España",Madrid
negative,TRUE,0,0,@Iberia Y luego cuando fuimos para obtener bono hotel nos dijeron que no que por haberlo comprado por cuenta propia no nos daban nada....,,Wed Dec 13 07:49:07 +0000 2017,940851061732052994,,
negative,FALSE,0,0,Por no contar la vez que nos cobraron en un grupo a cada uno distinto por maleta facturada; o la pésima atención te… https://t.co/ZvfCyv4Lfv,,Tue Dec 26 14:08:17 +0000 2017,945657522496602113,,Madrid
negative,TRUE,0,0,@rafallopz @Iberia Yo viajo con Iberia en enero. Tengo miedo 😓😨,,Tue Nov 28 14:20:26 +0000 2017,935513720587014144,,Bogota
neutral,TRUE,0,0,"@Iberia 
Llevo 15 minutos tratando de comunicarme por teléfono para información sobre mi reserva.pueden ayudarme? Gracias.",,Mon Nov 06 21:51:21 +0000 2017,927654665881309186,,Bogota
negative,FALSE,0,0,Llevo 2 dias sin maletas gracias a @Iberia Tengo una boda anla que asistir y solo tengo lo puesto. El servicio por… https://t.co/B5V93Xf6lZ,,Fri Dec 01 13:32:45 +0000 2017,936588883713843200,,Madrid
negative,FALSE,0,0,Vuelo cancelado = Moussaka de las gordas en el mostrador de Ryanair,,Mon Nov 27 21:15:24 +0000 2017,935255761470582785,"Tesalónica, Grecia",London
positive,FALSE,0,0,CHEP y Danone Iberia unen esfuerzos para conseguir sus objetivos de sostenibilidad @CHEP_Spain @CHEP… https://t.co/0b6EzazC0s,,Tue Dec 19 10:18:03 +0000 2017,943062868085309440,,
neutral,TRUE,0,0,"@JuditLpez Síí Ryanair es jajaja y de vuelta también Ryanair, yo a lo barato XDDDDD",,Wed Dec 27 11:24:23 +0000 2017,945978662834360320,,Athens
negative,TRUE,0,0,@Iberia @SilOsitos IBERIA siempre del lado de los que no hacen nada para solucionar los problemas que generan. Bien.,,Fri Dec 15 10:22:03 +0000 2017,941614324560420864,,
neutral,FALSE,0,0,"#AHORA | En breve parte @Uruguay rumbo a Varsovia para jugar el primer amistoso con Polonia. Vuelo de Iberia, escal… https://t.co/XsAmSuGPWV",,Sun Nov 05 15:52:14 +0000 2017,927201899434201088,,
negative,TRUE,0,0,@Iberia @WavesANDWind Decidme por favor que tenéis ese avión bajo custodia en algún lugar... 😞,,Thu Dec 14 14:34:21 +0000 2017,941315427547992064,,Athens
negative,TRUE,0,0,@Iberia Y en la web de iberia no me salen los vuelos de la ccompañia a las 7 de la mañana y en otras web de viajes si,,Wed Dec 27 10:15:44 +0000 2017,945961386382938113,,London
positive,TRUE,0,0,"@fdans El año pasado ida a París y vuelta de Edimburgo por 50 y 25 euros respectivamente, en Iberia",,Tue Dec 19 19:20:31 +0000 2017,943199382366810118,,Madrid
negative,FALSE,0,0,Que se retrase tu vuelo es una putada. Pero que se retrase tu vuelo volando con Ryanair es el colmo de las putadas.,,Mon Dec 04 17:49:48 +0000 2017,937740735792713733,,Madrid
negative,TRUE,0,0,@Iberia Más de 48 horas y nadie ofrece soluciones @Iberia @aena,,Wed Dec 13 18:26:05 +0000 2017,941011356442152960,,
negative,FALSE,0,0,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaColombia. Hola 79 destinos europeos al mejor precio https://t.co/prDAmG1qhy",,Thu Nov 23 04:32:53 +0000 2017,933553917077676032,,Central Time (US & Canada)
negative,TRUE,0,0,@Iberia no resolvió nada. Solo pregunto. Sigue el mensaje directo,,Sun Dec 03 10:41:03 +0000 2017,937270448013959169,,
positive,FALSE,0,0,"2 meses y empiezo a trabajar con Iberia, que ricoooo😚❤",,Sun Dec 03 00:49:13 +0000 2017,937121508744409088,,
negative,FALSE,0,0,Cuidado estafa reserva en la Web de @iberia. Pueden acabar reservando vuelos con otro origen ya que te lo cambia sin avisar.30 € cancelación,,Mon Nov 06 14:33:26 +0000 2017,927544456496271360,,Pacific Time (US & Canada)
negative,TRUE,0,0,"@franciscoperalg @EvaMPont1 @vueling @Ryanair @easyJet La señora se pasó de lista, y tal como estan las cosas quiso… https://t.co/zIFkdTytB3",,Wed Nov 29 20:53:36 +0000 2017,935975050401976320,,Madrid
positive,FALSE,0,0,Norwegian reta a Iberia con vuelos a EEUU desde Madrid https://t.co/twgViZTLbB,,Thu Dec 14 16:04:13 +0000 2017,941338043021131776,,Madrid
neutral,FALSE,0,0,La nueva política de equipajes de Ryanair entrará en vigor el próximo 15 de enero https://t.co/IizRGPhX1o,,Fri Dec 15 12:10:18 +0000 2017,941641562588680193,,Madrid
neutral,FALSE,0,0,CCOO consigue que España sea el primer país europeo en el que Ryanair comience las negociaciones de un convenio... https://t.co/wSwWH68U8u,,Sat Dec 23 21:44:55 +0000 2017,944685275594272775,,Pacific Time (US & Canada)
negative,TRUE,0,0,@jotero46 @Rafanoguera98 @ivan_cortina @Iberia Iberia no paga ni las indemnizaciones que le corresponden por ley ni… https://t.co/3qcanFYdWT,,Sat Dec 30 18:43:09 +0000 2017,947176246798176257,,
negative,TRUE,0,0,@TheDrRodriguez @British_Airways @Iberia Ha! Eu e mais a miña moza daquela saímos en tódalas teles en 1999 grazas a… https://t.co/zcOW0TZC1V,,Thu Dec 21 20:51:07 +0000 2017,943946961119580160,,
positive,FALSE,0,0,Iberia Express ofrece 5.000 vuelos a 5 euros https://t.co/qwa8NyySWJ,,Fri Dec 01 17:38:08 +0000 2017,936650637424644096,,Eastern Time (US & Canada)
negative,TRUE,0,0,"@Iberia Pues es lo que estoy haciendo, reportandola! Así que hagan el favor  @Iberia o @renfe de entenderse y propo… https://t.co/CB0QMYRlDc",,Sun Dec 24 11:14:04 +0000 2017,944888903911305216,,Greenland
neutral,TRUE,0,0,"@toy_fa @Iberia Hola. A ese respecto, acude con @SATMX Saludos.",,Fri Dec 01 16:04:17 +0000 2017,936627019760021504,,Mexico City
negative,TRUE,0,0,"@john_bengal @SupermanlopezN @JoseDaTorres @Iberia @giroditalia Iberia es una compañía muy económica pero pésima, esto pasa a todo rato .",,Fri Dec 22 00:48:29 +0000 2017,944006695688294402,,Athens
negative,FALSE,0,0,"Así fue el accidente del vuelo 5022 de Spanair, el más letal en España en 2 décadas #VIDEO https://t.co/geEBU6Abv3",,Sat Dec 23 04:02:21 +0000 2017,944417871899357185,,Bogota
negative,FALSE,0,0,Escasez de TMAs en Iberia obliga a convocar plazas https://t.co/B6AjwYaXA8 https://t.co/KYGz3xpYzL,,Wed Dec 27 10:06:37 +0000 2017,945959091272216576,,Pacific Time (US & Canada)
neutral,FALSE,0,0,La nueva política de equipajes de Ryanair entrará en vigor el próximo 15 de enero https://t.co/PpIC2JArU3 vía @abcdesevilla,,Fri Dec 15 17:01:38 +0000 2017,941714880574484480,,Madrid
neutral,TRUE,0,0,@Ryanair Madrid,,Fri Dec 15 22:01:20 +0000 2017,941790302792241152,,
positive,FALSE,0,0,Iberia Express ofrece descuentos del 25% en sus vuelos utilizando el número del Gordo de la Lotería https://t.co/raDJJY8bdx #viajes #LaRazon,,Fri Dec 22 21:33:27 +0000 2017,944319999686184961,,
positive,FALSE,0,0,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaColombia. Hola 79 destinos europeos al mejor precio https://t.co/r7xL303Dez",,Wed Nov 22 17:38:15 +0000 2017,933389176082485248,,
negative,TRUE,0,0,@Iberia Pierdo más tiempo denunciando y rellenando vuestro formulario que valor monetario tenía la bolsa desapareci… https://t.co/dAO3ikonXt,,Fri Nov 17 10:15:07 +0000 2017,931465715487518720,"Madrid, Spain",Helsinki
negative,TRUE,0,0,@OP_Deela @scarakye @Ryanair ☮️☮️☮️☮️☮️⚫️⚪️🏳🏴 pls no reporterino,,Sun Nov 26 23:49:11 +0000 2017,934932076402499584,,Pacific Time (US & Canada)
negative,TRUE,0,0,@Iberia 16:41..... aquí seguimos. https://t.co/Nvieo4dU5a,,Fri Dec 01 15:42:26 +0000 2017,936621520146911232,,
neutral,TRUE,0,0,@Iberia @AirNostrumLAM El vuelo donde en teoría van mis 4 maletas esperadas desde hace 5 días ha aterrizado. Espere… https://t.co/juSq3RYyOF,,Wed Dec 27 14:49:55 +0000 2017,946030389050605569,,
positive,FALSE,0,0,Ryanair contratará a 250 personas en Madrid. https://t.co/B1DWGROXm5,,Tue Dec 05 15:01:47 +0000 2017,938060840372142080,,Madrid
neutral,TRUE,0,0,@Iberia #HolaArgentina ¡Que nerviosssss y que ganas! 😍😍🍀❤️ @Iberia #ArgentinaConIberia https://t.co/eCdHlsxe4G,,Mon Nov 06 21:42:36 +0000 2017,927652461246058497,,Amsterdam
negative,FALSE,0,0,Ryanair ofrece reunirse con pilotos irlandeses antes de huelga https://t.co/4RjLpuUfPI,,Sun Dec 17 16:30:44 +0000 2017,942431878639955968,,Midway Island
neutral,TRUE,0,0,@mad_c2 @Iberia Iba para Madrid en el #IB3879 pero veíamos desde la terminal como el anterior no conseguía quedarse en tierra,,Wed Nov 22 18:45:17 +0000 2017,933406044285521921,,Madrid
negative,TRUE,0,0,"@ivan_cortina @Iberia Vale, tu eres profesional y tu equipo te pondra otra, pero en el caso de un particular normal… https://t.co/sQdsYQHs7b",,Sat Dec 30 18:32:07 +0000 2017,947173471402020866,,
negative,TRUE,0,0,@el_pais Este senyor suspende más actos que Ryanair vuelos.,,Thu Oct 26 13:33:38 +0000 2017,923543144507101184,,
positive,FALSE,0,0,"Hay vuelos en #Ryanair por tan solo 4,99€ y yo sin un puto duro para hacer un viaje a ningún sitio... #PutaMierdaTodo",,Tue Nov 21 11:38:44 +0000 2017,932936312092545026,,Greenland
positive,FALSE,0,0,La evolución de Iberia durante sus 90 años de existencia ha sido brutal,,Thu Dec 14 19:07:27 +0000 2017,941384153878204416,,Ljubljana
negative,FALSE,0,0,"Así fue el accidente del vuelo 5022 de Spanair, el más letal en España en 2 décadas [VIDEO] https://t.co/hI1Qc3XuWN",,Sat Dec 30 05:57:08 +0000 2017,946983472744280064,,Central Time (US & Canada)
negative,FALSE,0,0,Iberia engañando a sus usuarios una vez más... ahora resulta que con puente aéreo pagado con puntos no puedes subir… https://t.co/KcQ5HgXvSk,,Fri Nov 17 10:38:52 +0000 2017,931471693268254721,,
negative,TRUE,0,0,"@eiramlyszelazog Hermana, te has montado en RyanAir, vas a sobrevivir https://t.co/hJianJ44Na",,Sun Nov 26 17:57:20 +0000 2017,934843530069118977,,
neutral,FALSE,0,0,Iberia Express celebra sus cinco años con una oferta de 5.000 plazas a sólo 5 euros https://t.co/NhRjq7QwM8 vía @20m,,Thu Nov 30 12:57:27 +0000 2017,936217611620274177,,Greenland
negative,FALSE,0,0,"La maldad que Serrat hizo a Lucía, la azafata de Iberia a la que amó https://t.co/tAna4xcROh vía @chicrevista",,Wed Dec 13 14:29:32 +0000 2017,940951828757393408,,Madrid
neutral,FALSE,0,0,Iberia aumentará sus vuelos semanales de la ruta Buenos Aires-Madrid en 2018 https://t.co/pfQQ95bOAu #NoTextAndDrive https://t.co/yu3ukqZmNK,,Wed Nov 22 11:17:24 +0000 2017,933293332897206272,,Caracas
neutral,FALSE,0,0,Ryanair busca convertirse en el “Amazon de los viajes” desde sus oficinas en Madrid https://t.co/09eJrXVZ2V https://t.co/FdXp0CglSv,,Fri Nov 17 14:16:06 +0000 2017,931526363370094593,,America/Buenos_Aires
neutral,FALSE,0,0,#Iberia sortea la huelga en #Navidad: no habrá paros en El Prat en plena ‘operación salida’    https://t.co/3TvreSq1wM,,Thu Dec 21 17:52:10 +0000 2017,943901927393423360,,
negative,FALSE,0,0,"Vuelo IB2604 Bs As-Barcelona con casi 6 horas de retraso, esperando en el avión sin aire acondicionado y al bajarno… https://t.co/flx5AOIkHr",,Sat Dec 02 19:06:55 +0000 2017,937035365264785409,,
positive,FALSE,0,0,Samsung e Iberia sorprenden a los viajeros de un vuelo de Madrid a La Coruña con un «regalazo» https://t.co/T0qrohGH7o vía @abc_es,,Wed Oct 25 18:38:13 +0000 2017,923257406221582341,,Caracas
positive,FALSE,0,0,"Iberia retomará los vuelos a Puerto Rico a finales de marzo
https://t.co/ugSC6vN5G7",,Tue Dec 05 20:00:00 +0000 2017,938135891641450496,,Athens
negative,FALSE,0,0,"Como no pueda volar esta Navidad, me acordaré de los trabajadores de @vueling, ¡y no precisamente para bien! 😒… https://t.co/DOGVnXyLog",,Sun Dec 17 18:34:31 +0000 2017,942463033024090112,,Madrid
neutral,FALSE,0,0,Ryanair reconocerá a los sindicatos de pilotos para evitar huelgas https://t.co/KoXhdlz019 https://t.co/hX2qmVd97a,,Fri Dec 15 09:35:46 +0000 2017,941602674629382144,,
